# z [km]    k_sca [km-1]   k_abs [km-1] 
    120.00            0            0 
    115.00    3.827e-09    9.313e-11 
    110.00    7.909e-09     1.72e-09 
    105.00     1.81e-08    1.662e-08 
    100.00    4.264e-08    9.011e-08 
     95.00    1.031e-07    3.973e-07 
     90.00    2.524e-07    1.191e-06 
     85.00    6.098e-07    2.408e-06 
     80.00    1.406e-06    3.662e-06 
     75.00      3.1e-06    5.667e-06 
     70.00    6.552e-06    1.226e-05 
     65.00    1.316e-05    4.649e-05 
     60.00    2.537e-05    0.0001595 
     55.00     4.73e-05    0.0004859 
     50.00    8.616e-05      0.00152 
     47.50    0.0001341     0.003435 
     45.00    0.0001856     0.006146 
     42.50    0.0002618       0.0105 
     40.00    0.0003732      0.01751 
     37.50    0.0005376      0.02837 
     35.00    0.0007829      0.04234 
     32.50     0.001153      0.05842 
     30.00       0.0017      0.07853 
     27.50       0.0025        0.104 
     25.00     0.003689       0.1354 
     24.00     0.004829       0.1585 
     23.00     0.005657       0.1675 
     22.00     0.006631       0.1743 
     21.00     0.007781       0.1745 
     20.00     0.009134       0.1721 
     19.00       0.0107       0.1656 
     18.00      0.01252        0.152 
     17.00      0.01465       0.1363 
     16.00      0.01713       0.1182 
     15.00      0.02004       0.1022 
     14.00      0.02345      0.09075 
     13.00      0.02744       0.0817 
     12.00       0.0321      0.07481 
     11.00      0.03755      0.06599 
     10.00      0.04322      0.05018 
      9.00      0.04891      0.03673 
      8.00      0.05516      0.02821 
      7.00      0.06199      0.02316 
      6.00      0.06946      0.02168 
      5.00      0.07759      0.02108 
      4.00      0.08643      0.02149 
      3.00      0.09603      0.02258 
      2.00       0.1064       0.0247 
      1.00       0.1177      0.02595 
      0.00       0.1298      0.02623 
